GAME_ID,HOME_CLOSING_SPREAD
0022200997,-2.0
0022200996,2.5
0022200993,-9.5
0022200994,-4.0
0022200992,3.5
0022201001,-4.5
0022200998,-8.5
0022200999,1.5
0022201000,-2.5
0022201002,13.0
0022201003,2.5
0022201007,2.5
0022201012,-3.5
0022201004,-5.0
0022201006,3.5
0022201013,3.0
0022201008,5.0
0022201009,7.75
0022201010,-8.0
0022201011,-0.5
0022201005,1.0
0022201014,-9.0
0022201019,-3.0
0022201017,-3.0
0022201015,10.0
0022201018,4.0
0022201016,-7.5
0022201026,3.5
0022201021,-5.0
0022201020,4.0
0022201025,-4.5
0022201024,13.0
0022201022,-8.5
0022201023,4.5
0022201030,-1.5
0022201033,1.5
0022201031,-1.0
0022201034,2.0
0022201032,6.5
0022201027,5.5
0022201029,1.5
0022201028,-13.5
0022201038,3.0
0022201035,2.5
0022201037,1.5
0022201039,4.5
0022201040,4.0
0022201041,-3.0
0022201036,-4.0
0022201046,-8.0
0022201045,-12.0
0022201043,-3.0
0022201042,15.0
0022201044,-6.5
0022201050,-2.5
0022201047,10.5
0022201053,6.5
0022201051,5.5
0022201054,-3.5
0022201048,-3.5
0022201052,9.0
0022201049,-5.5
0022201060,2.5
0022201058,-9.0
0022201056,-6.5
0022201057,4.5
0022201059,4.5
0022201062,4.5
0022201055,-1.0
0022201061,1.5
0022201066,10.0
0022201070,-6.5
0022201064,-1.0
0022201065,10.0
0022201067,5.5
0022201063,3.0
0022201069,4.5
0022201068,-7.0
0022201073,-8.0
0022201071,2.0
0022201076,7.0
0022201072,-8.25
0022201075,-4.5
0022201074,11.5
0022201080,-13.5
0022201081,5.5
0022201079,4.0
0022201082,-6.5
0022201077,-1.5
0022201078,-13.5
0022201084,-2.0
0022201085,-9.0
0022201087,1.5
0022201092,-1.0
0022201091,-5.0
0022201089,-19.5
0022201090,-4.0
0022201083,9.0
0022201086,3.5
0022201088,-12.0
0022201093,2.5
0022201094,3.5
0022201096,-5.0
0022201095,-9.0
0022201102,9.5
0022201097,-11.0
0022201103,-4.5
0022201105,-4.0
0022201098,-8.5
0022201104,7.5
0022201100,-12.5
0022201106,-3.5
0022201099,-13.5
0022201101,-16.0
0022201109,-3.5
0022201108,-6.0
0022201107,-10.5
0022201110,-1.5
0022201112,-4.5
0022201111,-9.0
0022201121,-5.5
0022201118,-1.5
0022201116,-17.0
0022201114,-5.5
0022201113,12.5
0022201117,-14.0
0022201120,10.5
0022201115,1.5
0022201119,-9.5
0022201122,12.5
0022201128,-5.0
0022201126,-10.0
0022201125,5.0
0022201127,11.5
0022201129,-4.5
0022201123,7.5
0022201124,-13.0
0022201132,-6.0
0022201133,-6.0
0022201130,11.0
0022201131,-2.5
0022201135,-8.5
